TimeID,OrderDate,OrderYear,OrderMonth,DayOfWeek,OrderQuarter
602,2014-01-22,2014,January,Wednesday,Q1
603,2014-10-10,2014,October,Friday,Q4
604,2014-10-25,2014,October,Saturday,Q4
605,2014-10-22,2014,October,Wednesday,Q4
606,2012-02-12,2012,February,Sunday,Q1
607,2014-08-21,2014,August,Thursday,Q3
608,2014-05-28,2014,May,Wednesday,Q2
609,2013-09-07,2013,September,Saturday,Q3
610,2012-06-09,2012,June,Saturday,Q2
611,2015-11-05,2015,November,Thursday,Q4
612,2014-11-22,2014,November,Saturday,Q4
613,2014-12-10,2014,December,Wednesday,Q4
614,2012-11-17,2012,November,Saturday,Q4
615,2013-11-29,2013,November,Friday,Q4
616,2012-05-18,2012,May,Friday,Q2
617,2015-08-15,2015,August,Saturday,Q3
618,2014-09-20,2014,September,Saturday,Q3
619,2015-12-01,2015,December,Tuesday,Q4
620,2012-02-24,2012,February,Friday,Q1
621,2012-06-24,2012,June,Sunday,Q2
622,2013-11-01,2013,November,Friday,Q4
623,2014-07-10,2014,July,Thursday,Q3
624,2013-09-04,2013,September,Wednesday,Q3
625,2013-09-28,2013,September,Saturday,Q3
626,2012-06-05,2012,June,Tuesday,Q2
627,2012-03-14,2012,March,Wednesday,Q1
628,2014-07-04,2014,July,Friday,Q3
629,2015-05-31,2015,May,Sunday,Q2
630,2014-01-09,2014,January,Thursday,Q1
631,2015-07-22,2015,July,Wednesday,Q3
632,2014-05-06,2014,May,Tuesday,Q2
633,2012-08-31,2012,August,Friday,Q3
634,2014-09-11,2014,September,Thursday,Q3
635,2013-09-15,2013,September,Sunday,Q3
636,2014-06-26,2014,June,Thursday,Q2
637,2014-04-08,2014,April,Tuesday,Q2
638,2014-08-06,2014,August,Wednesday,Q3
639,2012-07-21,2012,July,Saturday,Q3
640,2014-02-01,2014,February,Saturday,Q1
641,2013-07-26,2013,July,Friday,Q3
642,2013-03-29,2013,March,Friday,Q1
643,2014-01-25,2014,January,Saturday,Q1
644,2015-06-22,2015,June,Monday,Q2
645,2013-04-02,2013,April,Tuesday,Q2
646,2014-05-25,2014,May,Sunday,Q2
647,2013-12-15,2013,December,Sunday,Q4
648,2013-11-16,2013,November,Saturday,Q4
649,2012-01-05,2012,January,Thursday,Q1
650,2013-04-13,2013,April,Saturday,Q2
651,2013-06-10,2013,June,Monday,Q2
652,2015-10-10,2015,October,Saturday,Q4
653,2015-06-25,2015,June,Thursday,Q2
654,2014-08-16,2014,August,Saturday,Q3
655,2014-07-03,2014,July,Thursday,Q3
656,2014-05-17,2014,May,Saturday,Q2
657,2012-10-10,2012,October,Wednesday,Q4
658,2015-03-21,2015,March,Saturday,Q1
659,2015-08-01,2015,August,Saturday,Q3
660,2013-01-16,2013,January,Wednesday,Q1
661,2013-09-06,2013,September,Friday,Q3
662,2015-12-11,2015,December,Friday,Q4
663,2013-04-28,2013,April,Sunday,Q2
664,2015-05-27,2015,May,Wednesday,Q2
665,2015-07-29,2015,July,Wednesday,Q3
666,2013-10-23,2013,October,Wednesday,Q4
667,2013-05-08,2013,May,Wednesday,Q2
668,2013-05-15,2013,May,Wednesday,Q2
669,2015-04-28,2015,April,Tuesday,Q2
670,2014-05-11,2014,May,Sunday,Q2
671,2015-05-07,2015,May,Thursday,Q2
672,2015-05-23,2015,May,Saturday,Q2
673,2015-03-27,2015,March,Friday,Q1
674,2012-07-31,2012,July,Tuesday,Q3
675,2014-12-21,2014,December,Sunday,Q4
676,2015-11-25,2015,November,Wednesday,Q4
677,2012-06-29,2012,June,Friday,Q2
678,2015-12-26,2015,December,Saturday,Q4
679,2014-05-27,2014,May,Tuesday,Q2
680,2015-06-08,2015,June,Monday,Q2
681,2013-02-13,2013,February,Wednesday,Q1
682,2015-03-25,2015,March,Wednesday,Q1
683,2013-06-30,2013,June,Sunday,Q2
684,2014-08-23,2014,August,Saturday,Q3
685,2015-02-04,2015,February,Wednesday,Q1
686,2012-08-03,2012,August,Friday,Q3
687,2015-09-09,2015,September,Wednesday,Q3
688,2012-06-23,2012,June,Saturday,Q2
689,2012-01-11,2012,January,Wednesday,Q1
690,2014-05-15,2014,May,Thursday,Q2
691,2014-07-22,2014,July,Tuesday,Q3
692,2014-01-01,2014,January,Wednesday,Q1
693,2015-07-30,2015,July,Thursday,Q3
694,2014-11-01,2014,November,Saturday,Q4
695,2012-08-17,2012,August,Friday,Q3
696,2012-10-06,2012,October,Saturday,Q4
697,2013-11-20,2013,November,Wednesday,Q4
698,2012-07-22,2012,July,Sunday,Q3
699,2013-04-20,2013,April,Saturday,Q2
700,2013-01-24,2013,January,Thursday,Q1
701,2013-04-04,2013,April,Thursday,Q2
702,2012-06-03,2012,June,Sunday,Q2
703,2014-01-20,2014,January,Monday,Q1
704,2015-09-15,2015,September,Tuesday,Q3
705,2012-05-13,2012,May,Sunday,Q2
706,2012-12-22,2012,December,Saturday,Q4
707,2012-06-19,2012,June,Tuesday,Q2
708,2012-06-01,2012,June,Friday,Q2
709,2013-09-03,2013,September,Tuesday,Q3
710,2014-03-06,2014,March,Thursday,Q1
711,2014-08-07,2014,August,Thursday,Q3
712,2015-09-27,2015,September,Sunday,Q3
713,2012-07-19,2012,July,Thursday,Q3
714,2012-05-30,2012,May,Wednesday,Q2
715,2012-08-04,2012,August,Saturday,Q3
716,2014-11-21,2014,November,Friday,Q4
717,2015-05-06,2015,May,Wednesday,Q2
718,2014-11-12,2014,November,Wednesday,Q4
719,2014-10-23,2014,October,Thursday,Q4
720,2013-02-20,2013,February,Wednesday,Q1
721,2014-04-25,2014,April,Friday,Q2
722,2014-06-15,2014,June,Sunday,Q2
723,2015-12-12,2015,December,Saturday,Q4
724,2014-10-29,2014,October,Wednesday,Q4
725,2015-08-16,2015,August,Sunday,Q3
726,2015-04-22,2015,April,Wednesday,Q2
727,2014-06-19,2014,June,Thursday,Q2
728,2015-07-26,2015,July,Sunday,Q3
729,2015-12-23,2015,December,Wednesday,Q4
730,2015-03-03,2015,March,Tuesday,Q1
731,2015-06-11,2015,June,Thursday,Q2
732,2013-10-09,2013,October,Wednesday,Q4
733,2013-01-07,2013,January,Monday,Q1
734,2013-12-05,2013,December,Thursday,Q4
735,2015-01-24,2015,January,Saturday,Q1
736,2012-07-27,2012,July,Friday,Q3
737,2015-03-04,2015,March,Wednesday,Q1
738,2014-11-06,2014,November,Thursday,Q4
739,2012-10-14,2012,October,Sunday,Q4
740,2012-07-29,2012,July,Sunday,Q3
741,2014-03-12,2014,March,Wednesday,Q1
742,2013-03-15,2013,March,Friday,Q1
743,2013-05-16,2013,May,Thursday,Q2
744,2014-12-14,2014,December,Sunday,Q4
745,2014-03-23,2014,March,Sunday,Q1
746,2012-04-25,2012,April,Wednesday,Q2
747,2014-06-21,2014,June,Saturday,Q2
748,2015-02-25,2015,February,Wednesday,Q1
749,2014-05-10,2014,May,Saturday,Q2
750,2015-07-02,2015,July,Thursday,Q3
751,2015-02-21,2015,February,Saturday,Q1
752,2014-12-06,2014,December,Saturday,Q4
753,2014-08-14,2014,August,Thursday,Q3
754,2014-03-25,2014,March,Tuesday,Q1
755,2013-11-24,2013,November,Sunday,Q4
756,2012-09-23,2012,September,Sunday,Q3
757,2014-06-30,2014,June,Monday,Q2
758,2013-08-25,2013,August,Sunday,Q3
759,2014-01-10,2014,January,Friday,Q1
760,2015-02-07,2015,February,Saturday,Q1
761,2012-09-24,2012,September,Monday,Q3
762,2014-03-04,2014,March,Tuesday,Q1
763,2012-07-06,2012,July,Friday,Q3
764,2014-07-23,2014,July,Wednesday,Q3
765,2014-01-18,2014,January,Saturday,Q1
766,2015-12-27,2015,December,Sunday,Q4
767,2012-07-15,2012,July,Sunday,Q3
768,2015-07-24,2015,July,Friday,Q3
769,2015-06-30,2015,June,Tuesday,Q2
770,2013-06-26,2013,June,Wednesday,Q2
771,2013-11-15,2013,November,Friday,Q4
772,2014-02-06,2014,February,Thursday,Q1
773,2012-04-17,2012,April,Tuesday,Q2
774,2013-07-09,2013,July,Tuesday,Q3
775,2012-09-15,2012,September,Saturday,Q3
776,2015-08-13,2015,August,Thursday,Q3
777,2013-01-11,2013,January,Friday,Q1
778,2013-06-04,2013,June,Tuesday,Q2
779,2012-06-30,2012,June,Saturday,Q2
780,2014-11-30,2014,November,Sunday,Q4
781,2013-06-08,2013,June,Saturday,Q2
782,2012-02-18,2012,February,Saturday,Q1
783,2014-08-04,2014,August,Monday,Q3
784,2014-04-01,2014,April,Tuesday,Q2
785,2014-10-27,2014,October,Monday,Q4
786,2012-09-05,2012,September,Wednesday,Q3
787,2012-01-17,2012,January,Tuesday,Q1
788,2012-08-25,2012,August,Saturday,Q3
789,2012-10-31,2012,October,Wednesday,Q4
790,2013-02-07,2013,February,Thursday,Q1
791,2013-04-24,2013,April,Wednesday,Q2
792,2012-08-14,2012,August,Tuesday,Q3
793,2015-01-17,2015,January,Saturday,Q1
794,2013-05-31,2013,May,Friday,Q2
795,2015-06-19,2015,June,Friday,Q2
796,2013-07-27,2013,July,Saturday,Q3
797,2012-12-29,2012,December,Saturday,Q4
798,2012-06-15,2012,June,Friday,Q2
799,2014-11-16,2014,November,Sunday,Q4
800,2013-03-23,2013,March,Saturday,Q1
801,2015-01-04,2015,January,Sunday,Q1
802,2013-04-10,2013,April,Wednesday,Q2
803,2013-11-22,2013,November,Friday,Q4
804,2014-07-16,2014,July,Wednesday,Q3
805,2014-02-11,2014,February,Tuesday,Q1
806,2014-07-17,2014,July,Thursday,Q3
807,2012-11-30,2012,November,Friday,Q4
808,2012-02-02,2012,February,Thursday,Q1
809,2012-04-03,2012,April,Tuesday,Q2
810,2012-10-13,2012,October,Saturday,Q4
811,2012-08-12,2012,August,Sunday,Q3
812,2013-07-20,2013,July,Saturday,Q3
813,2015-06-13,2015,June,Saturday,Q2
814,2015-08-24,2015,August,Monday,Q3
815,2013-07-06,2013,July,Saturday,Q3
816,2013-09-21,2013,September,Saturday,Q3
817,2013-02-02,2013,February,Saturday,Q1
818,2012-09-25,2012,September,Tuesday,Q3
819,2012-03-21,2012,March,Wednesday,Q1
820,2013-08-23,2013,August,Friday,Q3
821,2013-09-27,2013,September,Friday,Q3
822,2014-03-01,2014,March,Saturday,Q1
823,2015-11-17,2015,November,Tuesday,Q4
824,2013-03-02,2013,March,Saturday,Q1
825,2013-07-11,2013,July,Thursday,Q3
826,2015-05-21,2015,May,Thursday,Q2
827,2012-10-23,2012,October,Tuesday,Q4
828,2012-04-10,2012,April,Tuesday,Q2
829,2012-02-29,2012,February,Wednesday,Q1
830,2012-04-20,2012,April,Friday,Q2
831,2013-11-02,2013,November,Saturday,Q4
832,2013-10-22,2013,October,Tuesday,Q4
833,2012-04-18,2012,April,Wednesday,Q2
834,2015-10-20,2015,October,Tuesday,Q4
835,2013-03-20,2013,March,Wednesday,Q1
836,2012-11-20,2012,November,Tuesday,Q4
837,2012-09-06,2012,September,Thursday,Q3
838,2013-12-14,2013,December,Saturday,Q4
839,2013-06-22,2013,June,Saturday,Q2
840,2015-10-21,2015,October,Wednesday,Q4
841,2013-12-28,2013,December,Saturday,Q4
842,2013-10-19,2013,October,Saturday,Q4
843,2012-07-07,2012,July,Saturday,Q3
844,2015-02-03,2015,February,Tuesday,Q1
845,2013-05-05,2013,May,Sunday,Q2
846,2013-04-16,2013,April,Tuesday,Q2
847,2014-07-29,2014,July,Tuesday,Q3
848,2014-01-16,2014,January,Thursday,Q1
849,2014-04-13,2014,April,Sunday,Q2
850,2012-09-02,2012,September,Sunday,Q3
851,2012-06-27,2012,June,Wednesday,Q2
852,2015-05-02,2015,May,Saturday,Q2
853,2012-01-23,2012,January,Monday,Q1
854,2012-03-07,2012,March,Wednesday,Q1
855,2013-11-27,2013,November,Wednesday,Q4
856,2013-07-31,2013,July,Wednesday,Q3
857,2012-10-02,2012,October,Tuesday,Q4
858,2013-03-27,2013,March,Wednesday,Q1
859,2012-01-19,2012,January,Thursday,Q1
860,2014-12-04,2014,December,Thursday,Q4
861,2013-01-21,2013,January,Monday,Q1
862,2015-11-16,2015,November,Monday,Q4
863,2015-04-25,2015,April,Saturday,Q2
864,2013-05-29,2013,May,Wednesday,Q2
865,2014-05-09,2014,May,Friday,Q2
866,2012-07-11,2012,July,Wednesday,Q3
867,2013-06-29,2013,June,Saturday,Q2
868,2014-02-23,2014,February,Sunday,Q1
869,2015-10-01,2015,October,Thursday,Q4
870,2014-11-17,2014,November,Monday,Q4
871,2012-08-10,2012,August,Friday,Q3
872,2012-07-20,2012,July,Friday,Q3
873,2014-02-22,2014,February,Saturday,Q1
874,2012-11-23,2012,November,Friday,Q4
875,2012-10-30,2012,October,Tuesday,Q4
876,2014-03-27,2014,March,Thursday,Q1
877,2015-03-22,2015,March,Sunday,Q1
878,2015-03-12,2015,March,Thursday,Q1
879,2015-08-21,2015,August,Friday,Q3
880,2014-09-23,2014,September,Tuesday,Q3
881,2012-12-20,2012,December,Thursday,Q4
882,2013-06-07,2013,June,Friday,Q2
883,2015-05-10,2015,May,Sunday,Q2
884,2013-01-02,2013,January,Wednesday,Q1
885,2014-08-10,2014,August,Sunday,Q3
886,2015-02-20,2015,February,Friday,Q1
887,2014-10-03,2014,October,Friday,Q4
888,2015-01-15,2015,January,Thursday,Q1
889,2013-01-22,2013,January,Tuesday,Q1
890,2014-09-06,2014,September,Saturday,Q3
891,2012-11-01,2012,November,Thursday,Q4
892,2015-09-25,2015,September,Friday,Q3
893,2014-07-18,2014,July,Friday,Q3
894,2015-08-30,2015,August,Sunday,Q3
895,2012-03-20,2012,March,Tuesday,Q1
896,2012-09-11,2012,September,Tuesday,Q3
897,2015-06-04,2015,June,Thursday,Q2
898,2013-10-15,2013,October,Tuesday,Q4
899,2012-10-03,2012,October,Wednesday,Q4
900,2013-04-30,2013,April,Tuesday,Q2
901,2015-06-07,2015,June,Sunday,Q2
902,2013-11-11,2013,November,Monday,Q4
903,2014-12-25,2014,December,Thursday,Q4
904,2013-10-24,2013,October,Thursday,Q4
905,2012-04-11,2012,April,Wednesday,Q2
906,2015-08-19,2015,August,Wednesday,Q3
907,2013-01-03,2013,January,Thursday,Q1
908,2012-01-18,2012,January,Wednesday,Q1
909,2013-08-18,2013,August,Sunday,Q3
910,2013-05-21,2013,May,Tuesday,Q2
911,2015-01-16,2015,January,Friday,Q1
912,2013-08-26,2013,August,Monday,Q3
913,2013-10-26,2013,October,Saturday,Q4
914,2014-02-07,2014,February,Friday,Q1
915,2012-06-08,2012,June,Friday,Q2
916,2012-08-21,2012,August,Tuesday,Q3
917,2015-03-10,2015,March,Tuesday,Q1
918,2015-08-22,2015,August,Saturday,Q3
919,2013-04-06,2013,April,Saturday,Q2
920,2014-07-06,2014,July,Sunday,Q3
921,2013-08-13,2013,August,Tuesday,Q3
922,2015-02-23,2015,February,Monday,Q1
923,2013-09-19,2013,September,Thursday,Q3
924,2012-12-18,2012,December,Tuesday,Q4
925,2012-07-24,2012,July,Tuesday,Q3
926,2012-01-31,2012,January,Tuesday,Q1
927,2014-07-02,2014,July,Wednesday,Q3
928,2012-10-21,2012,October,Sunday,Q4
929,2012-08-24,2012,August,Friday,Q3
930,2013-06-06,2013,June,Thursday,Q2
931,2014-12-27,2014,December,Saturday,Q4
932,2014-11-26,2014,November,Wednesday,Q4
933,2012-10-04,2012,October,Thursday,Q4
934,2013-10-29,2013,October,Tuesday,Q4
935,2014-05-07,2014,May,Wednesday,Q2
936,2014-05-23,2014,May,Friday,Q2
937,2012-10-09,2012,October,Tuesday,Q4
938,2014-01-11,2014,January,Saturday,Q1
939,2012-10-20,2012,October,Saturday,Q4
940,2014-11-08,2014,November,Saturday,Q4
941,2015-04-23,2015,April,Thursday,Q2
942,2012-01-03,2012,January,Tuesday,Q1
943,2013-10-18,2013,October,Friday,Q4
944,2015-01-21,2015,January,Wednesday,Q1
945,2014-02-19,2014,February,Wednesday,Q1
946,2014-12-13,2014,December,Saturday,Q4
947,2013-08-14,2013,August,Wednesday,Q3
948,2014-09-29,2014,September,Monday,Q3
949,2013-06-27,2013,June,Thursday,Q2
950,2015-04-12,2015,April,Sunday,Q2
951,2014-09-04,2014,September,Thursday,Q3
952,2013-04-11,2013,April,Thursday,Q2
953,2015-03-20,2015,March,Friday,Q1
954,2014-08-28,2014,August,Thursday,Q3
955,2015-08-08,2015,August,Saturday,Q3
956,2012-03-31,2012,March,Saturday,Q1
957,2012-04-04,2012,April,Wednesday,Q2
958,2015-10-08,2015,October,Thursday,Q4
959,2013-07-12,2013,July,Friday,Q3
960,2015-04-18,2015,April,Saturday,Q2
961,2013-09-05,2013,September,Thursday,Q3
962,2015-07-07,2015,July,Tuesday,Q3
963,2013-05-03,2013,May,Friday,Q2
964,2015-10-30,2015,October,Friday,Q4
965,2014-08-13,2014,August,Wednesday,Q3
966,2013-02-17,2013,February,Sunday,Q1
967,2013-02-12,2013,February,Tuesday,Q1
968,2013-02-14,2013,February,Thursday,Q1
969,2015-01-11,2015,January,Sunday,Q1
970,2013-05-02,2013,May,Thursday,Q2
971,2015-02-06,2015,February,Friday,Q1
972,2015-11-10,2015,November,Tuesday,Q4
973,2012-11-07,2012,November,Wednesday,Q4
974,2012-12-04,2012,December,Tuesday,Q4
975,2013-07-16,2013,July,Tuesday,Q3
976,2012-03-24,2012,March,Saturday,Q1
977,2014-04-11,2014,April,Friday,Q2
978,2012-03-28,2012,March,Wednesday,Q1
979,2013-08-11,2013,August,Sunday,Q3
980,2013-12-22,2013,December,Sunday,Q4
981,2012-06-12,2012,June,Tuesday,Q2
982,2013-10-03,2013,October,Thursday,Q4
983,2014-05-20,2014,May,Tuesday,Q2
984,2012-07-12,2012,July,Thursday,Q3
985,2015-10-18,2015,October,Sunday,Q4
986,2013-09-22,2013,September,Sunday,Q3
987,2014-07-12,2014,July,Saturday,Q3
988,2015-05-25,2015,May,Monday,Q2
989,2014-07-13,2014,July,Sunday,Q3
990,2014-08-29,2014,August,Friday,Q3
991,2015-01-10,2015,January,Saturday,Q1
992,2014-07-05,2014,July,Saturday,Q3
993,2013-06-02,2013,June,Sunday,Q2
994,2015-07-15,2015,July,Wednesday,Q3
995,2012-11-16,2012,November,Friday,Q4
996,2013-09-25,2013,September,Wednesday,Q3
997,2013-11-17,2013,November,Sunday,Q4
998,2012-01-04,2012,January,Wednesday,Q1
999,2012-07-25,2012,July,Wednesday,Q3
1000,2012-05-17,2012,May,Thursday,Q2
1001,2013-10-27,2013,October,Sunday,Q4
1002,2013-08-21,2013,August,Wednesday,Q3
1003,2013-02-21,2013,February,Thursday,Q1
1004,2012-02-09,2012,February,Thursday,Q1
1005,2015-03-08,2015,March,Sunday,Q1
1006,2012-02-26,2012,February,Sunday,Q1
1007,2012-07-03,2012,July,Tuesday,Q3
1008,2013-06-01,2013,June,Saturday,Q2
1009,2015-02-28,2015,February,Saturday,Q1
1010,2013-11-26,2013,November,Tuesday,Q4
1011,2012-12-11,2012,December,Tuesday,Q4
1012,2014-06-23,2014,June,Monday,Q2
1013,2013-09-12,2013,September,Thursday,Q3
1014,2014-01-03,2014,January,Friday,Q1
1015,2014-09-28,2014,September,Sunday,Q3
1016,2014-10-07,2014,October,Tuesday,Q4
1017,2014-11-09,2014,November,Sunday,Q4
1018,2015-06-01,2015,June,Monday,Q2
1019,2012-12-15,2012,December,Saturday,Q4
1020,2012-12-10,2012,December,Monday,Q4
1021,2013-03-16,2013,March,Saturday,Q1
1022,2014-03-18,2014,March,Tuesday,Q1
1023,2014-07-19,2014,July,Saturday,Q3
1024,2015-01-01,2015,January,Thursday,Q1
1025,2014-03-22,2014,March,Saturday,Q1
1026,2014-01-14,2014,January,Tuesday,Q1
1027,2012-09-18,2012,September,Tuesday,Q3
1028,2015-01-06,2015,January,Tuesday,Q1
1029,2012-09-29,2012,September,Saturday,Q3
1030,2013-04-23,2013,April,Tuesday,Q2
1031,2015-04-29,2015,April,Wednesday,Q2
1032,2015-08-27,2015,August,Thursday,Q3
1033,2013-07-24,2013,July,Wednesday,Q3
1034,2015-08-09,2015,August,Sunday,Q3
1035,2014-04-17,2014,April,Thursday,Q2
1036,2013-01-04,2013,January,Friday,Q1
1037,2013-01-13,2013,January,Sunday,Q1
1038,2013-11-12,2013,November,Tuesday,Q4
1039,2012-04-01,2012,April,Sunday,Q2
1040,2013-10-06,2013,October,Sunday,Q4
1041,2014-10-05,2014,October,Sunday,Q4
1042,2014-11-02,2014,November,Sunday,Q4
1043,2014-05-08,2014,May,Thursday,Q2
1044,2013-05-12,2013,May,Sunday,Q2
1045,2013-08-05,2013,August,Monday,Q3
1046,2015-06-05,2015,June,Friday,Q2
1047,2015-04-05,2015,April,Sunday,Q2
1048,2015-10-19,2015,October,Monday,Q4
1049,2015-02-19,2015,February,Thursday,Q1
1050,2014-07-24,2014,July,Thursday,Q3
1051,2013-03-09,2013,March,Saturday,Q1
1052,2013-02-08,2013,February,Friday,Q1
1053,2013-12-09,2013,December,Monday,Q4
1054,2012-05-27,2012,May,Sunday,Q2
1055,2015-01-07,2015,January,Wednesday,Q1
1056,2015-01-13,2015,January,Tuesday,Q1
1057,2012-01-22,2012,January,Sunday,Q1
1058,2015-04-08,2015,April,Wednesday,Q2
1059,2013-03-26,2013,March,Tuesday,Q1
1060,2013-02-06,2013,February,Wednesday,Q1
1061,2012-03-29,2012,March,Thursday,Q1
1062,2012-03-23,2012,March,Friday,Q1
1063,2012-06-22,2012,June,Friday,Q2
1064,2012-08-30,2012,August,Thursday,Q3
1065,2013-11-14,2013,November,Thursday,Q4
1066,2014-12-07,2014,December,Sunday,Q4
1067,2014-11-20,2014,November,Thursday,Q4
1068,2015-04-26,2015,April,Sunday,Q2
1069,2015-02-26,2015,February,Thursday,Q1
1070,2012-09-30,2012,September,Sunday,Q3
1071,2012-04-13,2012,April,Friday,Q2
1072,2013-06-28,2013,June,Friday,Q2
1073,2012-01-26,2012,January,Thursday,Q1
1074,2014-10-08,2014,October,Wednesday,Q4
1075,2015-07-01,2015,July,Wednesday,Q3
1076,2013-04-26,2013,April,Friday,Q2
1077,2014-10-13,2014,October,Monday,Q4
1078,2012-01-15,2012,January,Sunday,Q1
1079,2013-12-24,2013,December,Tuesday,Q4
1080,2014-06-29,2014,June,Sunday,Q2
1081,2014-07-14,2014,July,Monday,Q3
1082,2013-01-08,2013,January,Tuesday,Q1
1083,2015-07-08,2015,July,Wednesday,Q3
1084,2013-10-20,2013,October,Sunday,Q4
1085,2012-10-11,2012,October,Thursday,Q4
1086,2012-05-04,2012,May,Friday,Q2
1087,2015-06-29,2015,June,Monday,Q2
1088,2013-10-07,2013,October,Monday,Q4
1089,2012-03-16,2012,March,Friday,Q1
1090,2013-06-09,2013,June,Sunday,Q2
1091,2012-09-08,2012,September,Saturday,Q3
1092,2014-07-31,2014,July,Thursday,Q3
1093,2012-01-20,2012,January,Friday,Q1
1094,2015-07-25,2015,July,Saturday,Q3
1095,2012-09-16,2012,September,Sunday,Q3
1096,2012-04-06,2012,April,Friday,Q2
1097,2014-04-20,2014,April,Sunday,Q2
1098,2013-05-18,2013,May,Saturday,Q2
1099,2015-03-07,2015,March,Saturday,Q1
1100,2012-06-13,2012,June,Wednesday,Q2
1101,2012-09-10,2012,September,Monday,Q3
1102,2013-02-09,2013,February,Saturday,Q1
1103,2014-04-22,2014,April,Tuesday,Q2
1104,2013-04-27,2013,April,Saturday,Q2
1105,2014-09-15,2014,September,Monday,Q3
1106,2012-02-22,2012,February,Wednesday,Q1
1107,2014-04-27,2014,April,Sunday,Q2
1108,2014-01-24,2014,January,Friday,Q1
1109,2013-07-14,2013,July,Sunday,Q3
1110,2012-09-12,2012,September,Wednesday,Q3
1111,2012-08-01,2012,August,Wednesday,Q3
1112,2013-03-08,2013,March,Friday,Q1
1113,2015-02-18,2015,February,Wednesday,Q1
1114,2012-03-03,2012,March,Saturday,Q1
1115,2012-05-25,2012,May,Friday,Q2
1116,2012-04-27,2012,April,Friday,Q2
1117,2013-12-08,2013,December,Sunday,Q4
1118,2013-01-19,2013,January,Saturday,Q1
1119,2014-04-02,2014,April,Wednesday,Q2
1120,2012-05-09,2012,May,Wednesday,Q2
1121,2015-09-10,2015,September,Thursday,Q3
1122,2014-02-25,2014,February,Tuesday,Q1
1123,2014-07-28,2014,July,Monday,Q3
1124,2012-12-01,2012,December,Saturday,Q4
1125,2013-04-09,2013,April,Tuesday,Q2
1126,2014-04-24,2014,April,Thursday,Q2
1127,2012-09-04,2012,September,Tuesday,Q3
1128,2014-06-16,2014,June,Monday,Q2
1129,2014-01-17,2014,January,Friday,Q1
1130,2012-03-17,2012,March,Saturday,Q1
1131,2014-04-03,2014,April,Thursday,Q2
1132,2012-10-07,2012,October,Sunday,Q4
1133,2013-03-12,2013,March,Tuesday,Q1
1134,2012-04-24,2012,April,Tuesday,Q2
1135,2014-03-15,2014,March,Saturday,Q1
1136,2015-02-05,2015,February,Thursday,Q1
1137,2015-04-10,2015,April,Friday,Q2
1138,2015-10-22,2015,October,Thursday,Q4
1139,2012-02-21,2012,February,Tuesday,Q1
1140,2012-05-08,2012,May,Tuesday,Q2
1141,2012-04-19,2012,April,Thursday,Q2
1142,2014-02-12,2014,February,Wednesday,Q1
1143,2014-05-18,2014,May,Sunday,Q2
1144,2012-05-19,2012,May,Saturday,Q2
1145,2012-08-26,2012,August,Sunday,Q3
1146,2014-04-06,2014,April,Sunday,Q2
1147,2012-07-10,2012,July,Tuesday,Q3
1148,2015-05-30,2015,May,Saturday,Q2
1149,2013-03-22,2013,March,Friday,Q1
1150,2012-09-28,2012,September,Friday,Q3
1151,2014-08-08,2014,August,Friday,Q3
1152,2012-08-22,2012,August,Wednesday,Q3
1153,2012-01-13,2012,January,Friday,Q1
1154,2012-05-05,2012,May,Saturday,Q2
1155,2012-07-28,2012,July,Saturday,Q3
1156,2013-03-31,2013,March,Sunday,Q1
1157,2014-08-03,2014,August,Sunday,Q3
1158,2012-05-26,2012,May,Saturday,Q2
1159,2013-09-09,2013,September,Monday,Q3
1160,2015-05-03,2015,May,Sunday,Q2
1161,2013-10-31,2013,October,Thursday,Q4
1162,2015-04-20,2015,April,Monday,Q2
1163,2015-01-22,2015,January,Thursday,Q1
1164,2015-11-23,2015,November,Monday,Q4
1165,2015-07-28,2015,July,Tuesday,Q3
1166,2013-07-10,2013,July,Wednesday,Q3
1167,2015-01-09,2015,January,Friday,Q1
1168,2012-09-09,2012,September,Sunday,Q3
1169,2013-04-17,2013,April,Wednesday,Q2
1170,2015-11-15,2015,November,Sunday,Q4
1171,2013-07-02,2013,July,Tuesday,Q3
1172,2013-12-16,2013,December,Monday,Q4
1173,2012-08-23,2012,August,Thursday,Q3
1174,2013-01-20,2013,January,Sunday,Q1
1175,2014-04-10,2014,April,Thursday,Q2
1176,2014-04-19,2014,April,Saturday,Q2
1177,2014-07-09,2014,July,Wednesday,Q3
1178,2014-04-15,2014,April,Tuesday,Q2
1179,2013-07-01,2013,July,Monday,Q3
1180,2013-10-08,2013,October,Tuesday,Q4
1181,2015-02-22,2015,February,Sunday,Q1
1182,2015-07-16,2015,July,Thursday,Q3
1183,2015-05-04,2015,May,Monday,Q2
1184,2013-07-05,2013,July,Friday,Q3
1185,2014-05-05,2014,May,Monday,Q2
1186,2014-12-28,2014,December,Sunday,Q4
1187,2013-03-01,2013,March,Friday,Q1
1188,2013-04-03,2013,April,Wednesday,Q2
1189,2014-08-09,2014,August,Saturday,Q3
1190,2013-07-25,2013,July,Thursday,Q3
1191,2013-01-18,2013,January,Friday,Q1
1192,2015-04-27,2015,April,Monday,Q2
1193,2015-04-19,2015,April,Sunday,Q2
1194,2012-05-24,2012,May,Thursday,Q2
1195,2012-10-15,2012,October,Monday,Q4
1196,2012-02-04,2012,February,Saturday,Q1
1197,2015-12-14,2015,December,Monday,Q4
